job_id,model,train_bins,val_bin,jac_mean,jac_std,jac0,jac1,jac2,jac3,jac4,jac5,jac6,jac7,jac8,jac9,jac10,jac11,jac12,jac13,jac14,jac15,d_model,batch_size,input_size,patch_size
12081378,clip-vit-base-patch16,0_90,45,0.74,0.148,0.97,0.839,0.806,0.746,0.449,0.75,0.736,0.725,0.517,0.542,0.707,0.868,0.552,0.875,0.859,0.902,768,4,512,16
12081378,clip-vit-base-patch16,0_90,60,0.746,0.146,0.971,0.834,0.828,0.751,0.505,0.758,0.743,0.741,0.468,0.533,0.701,0.865,0.593,0.87,0.867,0.901,768,4,512,16
12081378,clip-vit-base-patch16,0_90,75,0.756,0.14,0.972,0.854,0.838,0.763,0.533,0.779,0.754,0.737,0.476,0.577,0.724,0.861,0.583,0.875,0.875,0.9,768,4,512,16
12081378,clip-vit-base-patch16,0_90,90,0.808,0.097,0.976,0.87,0.882,0.822,0.713,0.799,0.776,0.761,0.62,0.65,0.78,0.893,0.702,0.894,0.879,0.908,768,4,512,16
12081381,dinov2_vitb14,0_45_90,0,0.807,0.111,0.973,0.87,0.868,0.853,0.665,0.819,0.794,0.749,0.58,0.618,0.788,0.922,0.712,0.897,0.882,0.919,768,4,504,14
12081381,dinov2_vitb14,0_45_90,15,0.766,0.145,0.969,0.861,0.843,0.798,0.54,0.794,0.772,0.728,0.5,0.551,0.741,0.922,0.571,0.896,0.864,0.91,768,4,504,14
12081381,dinov2_vitb14,0_45_90,30,0.772,0.138,0.97,0.869,0.852,0.793,0.544,0.789,0.771,0.728,0.521,0.552,0.738,0.92,0.634,0.898,0.861,0.909,768,4,504,14
12081381,dinov2_vitb14,0_45_90,45,0.81,0.107,0.975,0.885,0.871,0.847,0.684,0.804,0.789,0.749,0.601,0.61,0.786,0.917,0.741,0.906,0.873,0.918,768,4,504,14
12081381,dinov2_vitb14,0_45_90,60,0.777,0.135,0.972,0.862,0.855,0.818,0.587,0.802,0.777,0.749,0.497,0.55,0.735,0.9,0.653,0.897,0.867,0.913,768,4,504,14
12081381,dinov2_vitb14,0_45_90,75,0.77,0.14,0.972,0.865,0.859,0.804,0.579,0.799,0.772,0.729,0.478,0.576,0.739,0.889,0.591,0.891,0.871,0.909,768,4,504,14
12081381,dinov2_vitb14,0_45_90,90,0.806,0.105,0.975,0.875,0.893,0.833,0.69,0.801,0.784,0.733,0.624,0.634,0.775,0.911,0.675,0.9,0.873,0.913,768,4,504,14
12081385,siglip2-base-patch16-512,0_45_90,0,0.598,0.157,0.956,0.628,0.664,0.532,0.349,0.585,0.552,0.593,0.404,0.477,0.563,0.573,0.383,0.734,0.745,0.832,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,15,0.574,0.174,0.955,0.652,0.622,0.516,0.344,0.548,0.517,0.567,0.354,0.452,0.526,0.567,0.272,0.741,0.726,0.827,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,30,0.585,0.171,0.957,0.69,0.632,0.528,0.369,0.545,0.518,0.566,0.385,0.474,0.541,0.579,0.27,0.759,0.716,0.829,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,45,0.612,0.162,0.96,0.724,0.659,0.584,0.431,0.572,0.536,0.583,0.415,0.488,0.575,0.605,0.312,0.781,0.736,0.837,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,60,0.576,0.175,0.957,0.694,0.635,0.526,0.394,0.55,0.505,0.555,0.337,0.447,0.51,0.551,0.266,0.751,0.709,0.828,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,75,0.571,0.174,0.957,0.675,0.631,0.515,0.387,0.546,0.488,0.543,0.326,0.469,0.529,0.524,0.273,0.736,0.716,0.821,768,4,512,16
12081385,siglip2-base-patch16-512,0_45_90,90,0.593,0.164,0.959,0.669,0.662,0.532,0.366,0.558,0.503,0.557,0.407,0.511,0.589,0.533,0.323,0.755,0.732,0.827,768,4,512,16
12081380,dino_vitb16,0_90,0,0.852,0.089,0.982,0.893,0.915,0.872,0.751,0.868,0.844,0.815,0.669,0.673,0.85,0.923,0.795,0.924,0.923,0.941,768,4,512,16
12081380,dino_vitb16,0_90,15,0.78,0.143,0.976,0.859,0.851,0.758,0.554,0.832,0.802,0.769,0.549,0.564,0.768,0.904,0.553,0.909,0.902,0.929,768,4,512,16
12081380,dino_vitb16,0_90,30,0.755,0.157,0.975,0.836,0.829,0.715,0.477,0.805,0.779,0.762,0.489,0.54,0.732,0.888,0.535,0.895,0.893,0.929,768,4,512,16
12081380,dino_vitb16,0_90,45,0.741,0.169,0.975,0.83,0.793,0.705,0.371,0.794,0.765,0.761,0.502,0.555,0.723,0.863,0.494,0.892,0.899,0.93,768,4,512,16
12081380,dino_vitb16,0_90,60,0.754,0.157,0.976,0.829,0.821,0.721,0.471,0.806,0.779,0.768,0.485,0.547,0.722,0.868,0.544,0.9,0.905,0.931,768,4,512,16
12081380,dino_vitb16,0_90,75,0.783,0.139,0.978,0.868,0.859,0.764,0.582,0.823,0.795,0.775,0.51,0.603,0.758,0.887,0.573,0.903,0.917,0.932,768,4,512,16
12081380,dino_vitb16,0_90,90,0.856,0.077,0.984,0.903,0.917,0.848,0.801,0.854,0.832,0.816,0.744,0.708,0.835,0.919,0.748,0.924,0.923,0.942,768,4,512,16
12081383,C-RADIOv2-B,0_90,0,0.724,0.117,0.97,0.728,0.742,0.735,0.688,0.695,0.673,0.645,0.588,0.482,0.738,0.898,0.612,0.748,0.771,0.876,768,4,512,16
12081383,C-RADIOv2-B,0_90,15,0.639,0.152,0.963,0.622,0.649,0.574,0.529,0.615,0.605,0.585,0.468,0.382,0.655,0.847,0.433,0.707,0.726,0.86,768,4,512,16
12081383,C-RADIOv2-B,0_90,30,0.602,0.163,0.961,0.579,0.628,0.494,0.492,0.562,0.558,0.549,0.423,0.361,0.621,0.817,0.373,0.658,0.706,0.847,768,4,512,16
12081383,C-RADIOv2-B,0_90,45,0.583,0.17,0.961,0.587,0.591,0.454,0.393,0.544,0.539,0.534,0.422,0.339,0.601,0.795,0.379,0.627,0.709,0.849,768,4,512,16
12081383,C-RADIOv2-B,0_90,60,0.604,0.162,0.963,0.623,0.623,0.459,0.497,0.575,0.556,0.555,0.422,0.373,0.609,0.805,0.382,0.658,0.712,0.85,768,4,512,16
12081383,C-RADIOv2-B,0_90,75,0.646,0.15,0.966,0.686,0.672,0.545,0.587,0.63,0.607,0.578,0.45,0.424,0.655,0.825,0.406,0.737,0.72,0.856,768,4,512,16
12081383,C-RADIOv2-B,0_90,90,0.717,0.117,0.972,0.746,0.741,0.682,0.719,0.677,0.656,0.614,0.626,0.513,0.727,0.876,0.539,0.775,0.73,0.875,768,4,512,16
